Observation,Season,Region,Habitat,ManagementZone,Sample,Latitude,Longitude,Temperature,DissolvedOxygen,Salinity,MaximumDepth,Nurse,Blacknose,AtlanticSharpnose,Blacktip,Bull,GreatHammerhead,Lemon,Sandbar,Tiger,GreatWhite,Bonnethead,CaribbeanReef,Dusky,ScallopedHammerhead,Spinner
92,Dry,Keys,Bay,ENP,2011-12-4-6-25.00644,25.00644,-80.99969,25,NA,35,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
93,Dry,Keys,Bay,ENP,2011-12-4-7-25.00644,25.00644,-80.99969,25,NA,35,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
94,Dry,Keys,Bay,ENP,2011-12-4-8-25.00644,25.00644,-80.99969,25,NA,35,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Dry,Keys,Bay,ENP,2011-12-4-9-25.00644,25.00644,-80.99969,25,NA,35,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
96,Dry,Keys,Bay,ENP,2011-4-22-1-24.8904118,24.8904118,-80.8447906,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Dry,Keys,Bay,ENP,2011-4-22-2-24.8904118,24.8904118,-80.8447906,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Dry,Keys,Bay,ENP,2011-4-22-3-24.8904118,24.8904118,-80.8447906,NA,NA,NA,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,Dry,Keys,Bay,ENP,2011-4-22-4-24.8904118,24.8904118,-80.8447906,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Dry,Keys,Bay,ENP,2011-4-22-5-24.8904118,24.8904118,-80.8447906,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Dry,Keys,Bay,ENP,2011-4-22-6-24.8904118,24.8904118,-80.8447906,NA,NA,NA,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102,Dry,Keys,Bay,ENP,2012-11-11-1-25.00644,25.00644,-80.99969,22,8,32,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
103,Dry,Keys,Bay,ENP,2012-11-11-2-25.00644,25.00644,-80.99969,22,8,32,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
104,Dry,Keys,Bay,ENP,2012-11-11-3-25.00644,25.00644,-80.99969,22,8,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Dry,Keys,Bay,ENP,2012-11-11-4-25.00644,25.00644,-80.99969,22,8,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Dry,Keys,Bay,ENP,2012-11-11-5-25.00644,25.00644,-80.99969,23,7,32,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,Dry,Keys,Bay,ENP,2012-11-11-6-25.00644,25.00644,-80.99969,23,7,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Dry,Keys,Bay,ENP,2012-12-15-1-25.00644,25.00644,-80.99969,24,7,32,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
109,Dry,Keys,Bay,ENP,2012-12-15-2-25.00644,25.00644,-80.99969,24,7,32,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
110,Dry,Keys,Bay,ENP,2012-12-15-3-25.00644,25.00644,-80.99969,24,8,32,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,Dry,Keys,Bay,ENP,2012-12-15-4-25.00644,25.00644,-80.99969,24,8,32,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
112,Dry,Keys,Bay,ENP,2012-12-15-5-25.00644,25.00644,-80.99969,24,8,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Dry,Keys,Bay,ENP,2012-12-15-6-25.00644,25.00644,-80.99969,24,8,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Dry,Keys,Bay,ENP,2012-2-3-1-25.00644,25.00644,-80.99969,24,NA,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Dry,Keys,Bay,ENP,2012-2-3-2-25.00644,25.00644,-80.99969,25,NA,35,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,Dry,Keys,Bay,ENP,2012-2-3-3-25.00644,25.00644,-80.99969,25,NA,35,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
117,Dry,Keys,Bay,ENP,2012-2-3-4-25.00644,25.00644,-80.99969,25,NA,35,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,Dry,Keys,Bay,ENP,2012-2-3-5-25.00644,25.00644,-80.99969,25,NA,35,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Dry,Keys,Bay,ENP,2012-3-2-1-25.00644,25.00644,-80.99969,27,NA,35,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,Dry,Keys,Bay,ENP,2012-3-2-2-25.00644,25.00644,-80.99969,26,NA,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Dry,Keys,Bay,ENP,2012-3-2-3-25.00644,25.00644,-80.99969,28,NA,36,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
122,Dry,Keys,Bay,ENP,2012-3-2-4-25.00644,25.00644,-80.99969,28,NA,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Dry,Keys,Bay,ENP,2012-3-2-5-25.00644,25.00644,-80.99969,30,NA,34,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,Dry,Keys,Bay,ENP,2012-3-2-6-25.00644,25.00644,-80.99969,31,NA,34,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,Dry,Keys,Bay,ENP,2012-3-4-1-25.00644,25.00644,-80.99969,28,NA,35,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,Dry,Keys,Bay,ENP,2012-3-4-2-25.00644,25.00644,-80.99969,28,NA,38,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
127,Dry,Keys,Bay,ENP,2012-3-4-3-25.00644,25.00644,-80.99969,26,NA,35,12,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
128,Dry,Keys,Bay,ENP,2012-3-4-4-25.00644,25.00644,-80.99969,24,NA,37,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Dry,Keys,Bay,ENP,2012-3-4-5-25.00644,25.00644,-80.99969,22,NA,40,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,Dry,Keys,Bay,ENP,2012-4-15-1-25.00644,25.00644,-80.99969,28,7,40,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,Dry,Keys,Bay,ENP,2012-4-15-2-25.00644,25.00644,-80.99969,26,7,40,12,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
132,Dry,Keys,Bay,ENP,2012-4-15-3-25.00644,25.00644,-80.99969,29,7,40,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Dry,Keys,Bay,ENP,2012-4-15-4-25.00644,25.00644,-80.99969,27,7,40,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
134,Dry,Keys,Bay,ENP,2012-4-15-5-25.00644,25.00644,-80.99969,30,7.5,36,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
135,Dry,Keys,Bay,ENP,2013-11-10-1b-25.105567,25.105567,-81.038,28,6,33,20,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
136,Dry,Keys,Bay,ENP,2013-11-10-2b-25.105567,25.105567,-81.038,28,6,33,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Dry,Keys,Bay,ENP,2013-11-10-3b-25.105567,25.105567,-81.038,28,6,35,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
138,Dry,Keys,Bay,ENP,2013-11-10-4b-25.105567,25.105567,-81.038,28,6,35,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,Dry,Keys,Bay,ENP,2013-11-10-5b-25.105567,25.105567,-81.038,28,9,35,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
140,Dry,Keys,Bay,ENP,2013-11-10-6b-25.105567,25.105567,-81.038,28,9,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Dry,Keys,Bay,ENP,2013-11-17-1b-25.020867,25.020867,-81.0169,25,7,35,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,Dry,Keys,Bay,ENP,2013-11-17-2b-25.020867,25.020867,-81.0169,25,7,35,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Dry,Keys,Bay,ENP,2013-11-17-3b-25.020867,25.020867,-81.0169,25,7,38,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
144,Dry,Keys,Bay,ENP,2013-11-17-4b-25.020867,25.020867,-81.0169,25,7,38,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Dry,Keys,Bay,ENP,2013-11-17-5b-25.020867,25.020867,-81.0169,27,8,36,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,Dry,Keys,Bay,ENP,2013-11-17-6b-25.020867,25.020867,-81.0169,27,8,36,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
147,Dry,Keys,Bay,ENP,2013-11-21-1-25.106967,25.106967,-81.03755,29,7,35,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Dry,Keys,Bay,ENP,2013-11-21-2-25.106967,25.106967,-81.03755,29,7,35,NA,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
149,Dry,Keys,Bay,ENP,2013-11-21-3-25.106967,25.106967,-81.03755,30,7,36,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
150,Dry,Keys,Bay,ENP,2013-11-21-4-25.106967,25.106967,-81.03755,30,7,36,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,Dry,Keys,Bay,ENP,2013-11-21-5-25.106967,25.106967,-81.03755,29,7,34,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Dry,Keys,Bay,ENP,2013-11-21-6-25.106967,25.106967,-81.03755,29,7,34,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,Dry,Keys,Bay,ENP,2013-11-22-1-25.012194,25.012194,-80.991528,28,7,35,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
154,Dry,Keys,Bay,ENP,2013-11-22-2-25.012194,25.012194,-80.991528,28,7,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Dry,Keys,Bay,ENP,2013-11-22-3-25.012194,25.012194,-80.991528,26,6,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Dry,Keys,Bay,ENP,2013-11-22-4-25.012194,25.012194,-80.991528,26,6,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Dry,Keys,Bay,ENP,2013-11-22-5-25.012194,25.012194,-80.991528,26,6,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Dry,Keys,Bay,ENP,2013-11-22-6-25.012194,25.012194,-80.991528,26,6,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Dry,Keys,Bay,ENP,2013-12-7-1a-24.931283,24.931283,-80.925917,28,9,35,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,Dry,Keys,Bay,ENP,2013-12-7-2a-24.931283,24.931283,-80.925917,28,9,35,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,Dry,Keys,Bay,ENP,2013-12-7-3a-24.931283,24.931283,-80.925917,27,9,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Dry,Keys,Bay,ENP,2013-12-7-4a-24.931283,24.931283,-80.925917,27,9,35,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,Dry,Keys,Bay,ENP,2013-12-7-5a-24.931283,24.931283,-80.925917,25,8,37,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Dry,Keys,Bay,ENP,2013-12-7-6a-24.931283,24.931283,-80.925917,25,8,37,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
